assay_component_name	technological_target_type_sub	chnm	casn	stkc	stkc_unit	apid	rowi	coli	wllt	wllq	conc	rval	srcf
CEETOX_H295R_ESTRADIOL	Estradiol	1-Methyl-3-phenyl-5-(3-(trifluoromethyl)phenyl)-4-pyridone	59756-60-4	100.0999984741211	mM	10Jun2015.Plate.11	5	8	t	1	3.707333333	0.09	2900-TO3 165 DR 10Jun2015 Plate 11A.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1-Methyl-3-phenyl-5-(3-(trifluoromethyl)phenyl)-4-pyridone	59756-60-4	100.0999984741211	mM	10Jun2015.Plate.11	4	9	t	1	11.12233333	0.12	2900-TO3 165 DR 10Jun2015 Plate 11A.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1-Methyl-3-phenyl-5-(3-(trifluoromethyl)phenyl)-4-pyridone	59756-60-4	100.0999984741211	mM	10Jun2015.Plate.11	4	8	t	1	11.12233333	0.12	2900-TO3 165 DR 10Jun2015 Plate 11A.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1-Methyl-3-phenyl-5-(3-(trifluoromethyl)phenyl)-4-pyridone	59756-60-4	100.0999984741211	mM	10Jun2015.Plate.11	3	8	t	1	33.36666667	0.2	2900-TO3 165 DR 10Jun2015 Plate 11A.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1-Methyl-3-phenyl-5-(3-(trifluoromethyl)phenyl)-4-pyridone	59756-60-4	100.0999984741211	mM	10Jun2015.Plate.11	3	9	t	1	33.36666667	0.19	2900-TO3 165 DR 10Jun2015 Plate 11A.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1-Methyl-3-phenyl-5-(3-(trifluoromethyl)phenyl)-4-pyridone	59756-60-4	100.0999984741211	mM	10Jun2015.Plate.11	2	8	t	1	100.1	0.18	2900-TO3 165 DR 10Jun2015 Plate 11A.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1-Methyl-3-phenyl-5-(3-(trifluoromethyl)phenyl)-4-pyridone	59756-60-4	100.0999984741211	mM	10Jun2015.Plate.11	2	9	t	1	100.1	0.17	2900-TO3 165 DR 10Jun2015 Plate 11A.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,​2-​Benzenediol	120-80-9	100.0999984741211	mM	10Jun2015.Plate.16	7	8	t	1	0.041333333	0.13	2900-TO3 165 DR 10Jun2015 Plate 16A.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,​2-​Benzenediol	120-80-9	100.0999984741211	mM	10Jun2015.Plate.16	7	9	t	1	0.041333333	0.14	2900-TO3 165 DR 10Jun2015 Plate 16A.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,​2-​Benzenediol	120-80-9	100.0999984741211	mM	10Jun2015.Plate.16	6	8	t	1	0.123666667	0.1	2900-TO3 165 DR 10Jun2015 Plate 16A.csv
